# Budget  Q-Learning  QL-Error  P-MARL  PM-Error
4000      3895.83     50.23     3948.51  29.40
6000      5881.14     49.10     5972.81  11.72
8000      7827.05     79.84     7869.28  106.96
10000     9863.37     84.78     9971.57  15.17
