# Budget  Q-Learning  QL-Error  P-MARL  PM-Error
"500,000"    7675.00    376.65    21267.80    1196.68
"750,000"    9985.90    374.63    23903.80    1655.61
"1,100,000" 13263.50    366.48    26987.70    1141.79
