# Budget  Q-Learning  QL-Error  P-MARL  PM-Error
"500,000"    15.22069    0.19250    107.12484    3.88453
"750,000"    18.70647    0.19416    127.23993    3.88088
"1,100,000" 21.04134    0.34847    147.06348    2.33573
