battery_kwh,round,pmarl_packets,tl_packets,pmarl_ms,tl_ms
0.5,1,1140.10,1140.10,103.65,103.65
0.5,2,1154.00,1174.60,122.20,90.10
0.5,3,1162.00,1164.50,105.05,106.39
0.5,4,1145.10,1171.80,129.88,106.77
0.5,5,1164.20,1188.80,133.43,97.63
0.5,6,1159.00,1172.00,113.98,90.91
0.5,7,1171.20,1187.20,121.86,99.44
0.5,8,1149.50,1161.00,136.30,76.85
0.5,9,1120.60,1132.80,122.64,89.22
0.5,10,1124.80,1129.20,115.03,83.01
1.0,1,2401.60,2401.60,510.71,510.71
1.0,2,2463.30,2493.60,534.48,421.51
1.0,3,2497.00,2516.70,583.87,384.30
1.0,4,2504.10,2556.20,610.76,425.69
1.0,5,2444.20,2556.90,593.38,375.39
1.0,6,2518.00,2587.90,663.17,317.03
1.0,7,2505.50,2577.30,478.22,375.14
1.0,8,2436.90,2496.30,481.01,322.93
1.0,9,2496.00,2490.20,504.07,395.30
1.0,10,2500.60,2500.30,512.56,424.97
1.5,1,3724.10,3724.10,790.24,790.24
1.5,2,3671.20,3661.20,754.77,615.00
1.5,3,3703.40,3685.80,714.63,603.10
1.5,4,3651.80,3690.20,789.57,648.31
1.5,5,3634.10,3683.10,835.84,589.04
1.5,6,3654.90,3689.00,755.03,550.80
1.5,7,3676.40,3719.50,897.00,719.26
1.5,8,3637.30,3658.70,758.55,597.32
1.5,9,3723.50,3698.00,807.68,688.95
1.5,10,3777.60,3803.60,864.85,614.81
2.0,1,4469.70,4469.70,826.90,826.90
2.0,2,4443.10,4440.80,953.78,832.96
2.0,3,4466.60,4477.20,1105.11,814.09
2.0,4,4477.00,4490.10,895.98,876.34
2.0,5,4513.50,4534.10,1129.29,686.16
2.0,6,4565.40,4621.80,990.55,747.19
2.0,7,4537.70,4584.00,872.30,802.39
2.0,8,4521.50,4561.90,1121.92,817.14
2.0,9,4523.40,4530.10,838.93,816.38
2.0,10,4510.10,4519.00,820.03,712.40
