battery_kwh,round,pmarl_packets,tl_packets,pmarl_ms,tl_ms
0.5,1,1229.10,1229.10,156.31,156.31
0.5,2,1202.80,1232.40,135.32,118.04
0.5,3,1247.00,1244.10,142.59,117.76
0.5,4,1208.10,1136.30,141.83,108.77
0.5,5,1211.80,1142.20,140.13,148.67
0.5,6,1189.00,1106.00,146.28,150.97
0.5,7,1211.70,1065.90,142.65,142.57
0.5,8,1151.80,934.60,101.10,128.65
0.5,9,1239.60,1116.60,148.97,176.21
0.5,10,1135.90,1076.90,140.03,116.95
1.0,1,2433.40,2433.40,515.22,515.22
1.0,2,2320.00,2352.80,644.24,654.44
1.0,3,2364.60,2007.60,502.37,523.21
1.0,4,2503.20,2133.20,518.35,483.10
1.0,5,2523.40,1849.90,655.25,527.05
1.0,6,2432.50,1937.50,611.87,499.05
1.0,7,2470.00,1847.60,493.50,644.52
1.0,8,2455.00,1677.80,550.73,496.48
1.0,9,2269.70,1739.00,538.97,536.15
1.0,10,2326.20,1825.10,580.87,478.01
1.5,1,3140.00,3140.00,635.31,635.31
1.5,2,3147.50,2809.10,697.67,781.59
1.5,3,3349.80,2837.40,769.22,843.23
1.5,4,3199.30,2866.80,873.81,767.55
1.5,5,3010.80,2799.80,823.79,707.46
1.5,6,3072.10,2529.50,921.21,945.72
1.5,7,3284.50,2417.80,716.01,779.75
1.5,8,3134.20,2550.00,941.53,735.74
1.5,9,3107.40,2480.20,922.77,955.61
1.5,10,3324.70,2559.90,724.92,825.87
2.0,1,3745.40,3745.40,2211.12,2211.12
2.0,2,3934.20,3851.20,1659.73,1504.36
2.0,3,3939.30,3619.20,1364.91,1850.82
2.0,4,3874.80,3408.20,1514.06,1540.03
2.0,5,3912.00,3488.90,1476.39,2268.50
2.0,6,4049.50,3299.60,1420.98,1668.25
2.0,7,3717.00,3284.60,1865.48,1356.52
2.0,8,3897.20,3290.20,2154.67,1751.08
2.0,9,3526.50,3076.00,1910.02,1263.81
2.0,10,3828.50,3528.60,1534.77,1418.72
