battery_kwh,round,pmarl_packets,tl_packets,pmarl_ms,tl_ms
0.5,1,1165.20,1165.20,143.67,143.67
0.5,2,1144.20,1158.40,109.72,95.56
0.5,3,1136.70,1144.70,113.75,96.09
0.5,4,1122.70,1125.60,116.36,108.73
0.5,5,1115.20,1115.00,115.98,127.86
0.5,6,1092.80,1124.10,112.95,109.77
0.5,7,1087.60,1105.70,116.46,132.89
0.5,8,1080.20,1098.80,110.29,95.16
0.5,9,1097.60,1091.50,126.28,127.65
0.5,10,1059.80,1054.30,125.98,88.19
1.0,1,2640.50,2640.50,1039.26,1039.26
1.0,2,2619.20,2620.00,962.22,816.15
1.0,3,2632.30,2615.20,834.65,675.01
1.0,4,2617.00,2586.70,868.33,834.00
1.0,5,2674.80,2634.70,1086.33,817.75
1.0,6,2629.20,2611.80,840.36,747.52
1.0,7,2664.00,2649.20,854.16,667.65
1.0,8,2673.80,2624.30,825.43,851.79
1.0,9,2662.00,2647.70,805.69,904.10
1.0,10,2729.80,2632.60,935.45,906.97
1.5,1,3748.70,3748.70,1053.00,1053.00
1.5,2,3702.80,3671.60,1162.06,1067.05
1.5,3,3730.40,3675.00,995.54,1152.77
1.5,4,3699.90,3622.40,1277.83,1078.74
1.5,5,3672.70,3592.20,978.89,1219.16
1.5,6,3626.50,3528.10,927.14,918.66
1.5,7,3617.70,3566.80,992.10,1255.00
1.5,8,3707.10,3607.10,1114.12,987.72
1.5,9,3644.80,3554.10,1078.87,1129.00
1.5,10,3681.70,3552.50,1159.64,1064.15
2.0,1,4388.10,4388.10,1022.34,1022.34
2.0,2,4429.70,4402.50,1123.16,1218.03
2.0,3,4450.90,4328.30,959.22,1143.03
2.0,4,4421.60,4322.70,735.72,1089.43
2.0,5,4421.30,4298.80,904.03,1033.86
2.0,6,4432.60,4322.30,1183.90,936.63
2.0,7,4423.90,4336.50,988.41,1159.13
2.0,8,4464.70,4339.20,797.79,1128.83
2.0,9,4511.90,4336.20,1044.46,931.20
2.0,10,4567.00,4364.10,1034.01,899.43
