battery_kwh,round,pmarl_packets,tl_packets,pmarl_ms,tl_ms
0.5,1,1165.20,1165.20,154.85,154.85
0.5,2,1144.20,1158.40,112.92,97.62
0.5,3,1136.70,1144.70,115.64,95.17
0.5,4,1122.70,1125.60,126.33,110.41
0.5,5,1115.20,1115.00,106.48,123.40
0.5,6,1092.80,1124.10,104.08,105.41
0.5,7,1087.60,1105.70,112.99,104.24
0.5,8,1080.20,1098.80,102.03,96.70
0.5,9,1097.60,1091.50,104.83,128.95
0.5,10,1059.80,1054.30,107.17,84.94
1.0,1,2640.50,2640.50,845.18,845.18
1.0,2,2619.20,2620.00,933.38,726.11
1.0,3,2632.30,2615.20,756.83,664.45
1.0,4,2617.00,2586.70,793.56,812.10
1.0,5,2674.80,2634.70,1021.89,777.12
1.0,6,2629.20,2611.80,906.07,728.94
1.0,7,2664.00,2649.20,785.06,634.62
1.0,8,2673.80,2624.30,745.26,806.23
1.0,9,2662.00,2647.70,812.42,695.26
1.0,10,2729.80,2632.60,824.81,778.02
1.5,1,3748.70,3748.70,1096.41,1096.41
1.5,2,3702.80,3671.60,1303.14,1074.65
1.5,3,3730.40,3675.00,966.71,1194.24
1.5,4,3699.90,3622.40,1270.95,997.17
1.5,5,3672.70,3592.20,947.00,1215.90
1.5,6,3626.50,3528.10,930.18,965.50
1.5,7,3617.70,3566.80,1006.24,1229.71
1.5,8,3707.10,3607.10,1082.55,877.40
1.5,9,3644.80,3554.10,1075.96,1138.11
1.5,10,3681.70,3552.50,1146.67,1098.86
2.0,1,4388.10,4388.10,1307.77,1307.77
2.0,2,4429.70,4402.50,1412.32,1515.75
2.0,3,4450.90,4328.30,1208.25,1373.58
2.0,4,4421.60,4322.70,935.54,1417.23
2.0,5,4421.30,4298.80,1146.52,1309.32
2.0,6,4432.60,4322.30,1501.06,1264.63
2.0,7,4423.90,4336.50,1217.68,1560.33
2.0,8,4464.70,4339.20,1210.97,1306.11
2.0,9,4511.90,4336.20,1410.81,1184.38
2.0,10,4567.00,4364.10,1383.02,1170.69
