battery_kwh,round,pmarl_packets,tl_packets,pmarl_ms,tl_ms
0.5,1,1181.10,1181.10,146.51,146.51
0.5,2,1225.90,1205.00,125.49,109.39
0.5,3,1194.90,1215.70,131.68,112.90
0.5,4,1204.10,1209.00,106.01,115.79
0.5,5,1182.50,1188.80,110.33,126.97
0.5,6,1162.70,1185.50,110.73,146.21
0.5,7,1172.90,1227.80,117.48,134.90
0.5,8,1205.00,1211.70,128.26,115.76
0.5,9,1121.80,1175.10,121.91,150.17
0.5,10,1156.20,1185.10,95.11,133.42
1.0,1,2635.80,2635.80,551.74,551.74
1.0,2,2673.50,2671.40,620.95,627.73
1.0,3,2705.30,2686.60,474.39,525.56
1.0,4,2675.60,2670.90,479.46,631.78
1.0,5,2711.60,2669.10,566.28,705.79
1.0,6,2672.20,2623.50,575.76,559.16
1.0,7,2675.50,2631.10,553.32,551.55
1.0,8,2670.30,2612.50,531.58,550.51
1.0,9,2675.80,2569.90,604.18,662.08
1.0,10,2648.20,2544.60,539.34,365.83
1.5,1,3752.00,3752.00,719.70,719.70
1.5,2,3716.10,3666.00,693.95,893.28
1.5,3,3774.20,3667.00,623.85,970.45
1.5,4,3797.70,3659.60,812.73,812.72
1.5,5,3745.80,3618.60,765.03,843.51
1.5,6,3709.30,3613.00,765.47,820.10
1.5,7,3729.30,3584.80,764.63,875.46
1.5,8,3673.10,3538.40,694.12,841.45
1.5,9,3667.20,3568.30,737.73,772.06
1.5,10,3703.50,3548.50,792.86,877.31
2.0,1,4647.00,4647.00,991.31,991.31
2.0,2,4642.60,4568.10,1006.75,983.81
2.0,3,4653.90,4521.90,819.98,1044.30
2.0,4,4608.20,4453.60,861.94,922.43
2.0,5,4617.00,4505.30,812.17,1025.66
2.0,6,4623.20,4513.60,923.25,984.66
2.0,7,4579.80,4488.70,810.80,974.79
2.0,8,4613.20,4455.50,858.55,966.89
2.0,9,4609.30,4465.40,883.43,1038.13
2.0,10,4564.00,4356.70,879.15,914.66
